connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,EURIUSDT,EURI-USDT,EURI,USDT,True,1,True,1.1586,452657.778,391075.69,1.1584,2180.25,1.1587,100.0,2.589443701177912,115.87,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9063429137760158,0.9658077304261645,0.8889990089197225,91.77403369672945
mexc,SEIUSDT,SEI-USDT,SEI,USDT,True,1,True,0.06017,1344276.29741,22261063.62,0.06016,664.73,0.06018,1843.69,3.3239155725443217,39.9901568,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.956392467789891,0.9514370664023786,0.7611496531219029,91.61050545094153
mexc,HUMAUSDT,HUMA-USDT,HUMA,USDT,True,1,True,0.01743,1311953.33667,78455183.19,0.01741,50857.6,0.01742,3172.8,5.742176284813701,55.270176000000006,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9558969276511398,0.9063429137760158,0.800792864222002,91.24876114965312
mexc,BABYUSDT,BABY-USDT,BABY,USDT,True,1,True,0.01396,462768.43496,32658684.92,0.01398,25748.57,0.01399,21091.77,7.1505184125858605,295.07386230000003,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9073339940535183,0.8855302279484638,0.9593657086223984,91.22893954410307
mexc,GUNUSDT,GUN-USDT,GUN,USDT,True,1,True,0.02256,2058784.59824,80640205.0,0.02254,3616.0,0.02256,24319.2,8.869179600886556,81.50464000000001,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9663032705649157,0.8557978196233895,0.8305252725470763,91.15213082259663
mexc,NEARUSDT,NEAR-USDT,NEAR,USDT,True,1,True,1.3114,8733504.8405,6717255.3,1.3109,16.88,1.3115,16.74,4.5759609518010675,21.95451,0.0001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9886025768087215,0.9271555996035679,0.6774033696729435,91.10009910802775
mexc,STOUSDT,STO-USDT,STO,USDT,True,1,True,0.08201,976359.52802,11469294.85,0.082,5648.56,0.08211,8194.0,13.405642556821519,463.18192000000005,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.94400396432111,0.7824578790882062,0.9702675916749257,90.88701684836474
mexc,ANKRUSDT,ANKR-USDT,ANKR,USDT,True,1,True,0.005177,564204.196467,107557125.9331,0.005169,311977.52,0.005171,15948.0,3.8684719535788497,82.46710800000001,1e-06,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.921209117938553,0.9435084241823588,0.8315163528245788,90.88453914767098
mexc,TRIAUSDT,TRIA-USDT,TRIA,USDT,True,1,True,0.04233,973160.25883,21797089.63,0.04233,23607.17,0.04239,33030.55,14.164305949007922,999.2915060999999,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9435084241823588,0.7685827552031714,0.9826560951437067,90.76065411298316
mexc,VETUSDT,VET-USDT,VET,USDT,True,1,True,0.007014,449355.100986,63906482.92,0.007016,12485.6,0.007018,12485.6,2.8502208921195176,87.5989696,1e-06,10.0,10.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9058473736372646,0.9618434093161546,0.8394449950445986,90.6565906838454
