symbol,session,n_probes,n_miss,max_n,has_min_month_file,has_session_bars,has_regular_bars,prior_close,prior_adv,has_quote_month_file,daily_eligible,first_trade_et,category
AURA,2025-08-27,10,2,105,1,1,1,6.5,1060921.0,1,0,07:17,intra_session_sparse
AURE,2025-08-27,10,2,19,1,1,1,5.199,448663.0,1,0,09:25,intra_session_sparse
AUST,2025-08-27,10,10,0,0,0,0,1.59,136727.0,0,0,,no_minute_file
AUUD,2025-08-27,10,0,88,1,1,1,19.4,15261393.0,1,1,04:02,intra_session_sparse
AVAH,2025-08-27,10,0,336,1,1,1,7.67,12268341.0,1,1,08:00,intra_session_sparse
AVBC,2025-08-27,10,10,0,1,0,0,15.15,6868756.0,1,1,,no_session_bars_has_month_file
AVBP,2025-08-27,10,0,155,1,1,1,19.59,5360794.0,1,1,09:30,intra_session_sparse
AVIR,2025-08-27,10,0,155,1,1,1,3.65,1264942.0,1,0,09:30,intra_session_sparse
AVNS,2025-08-27,10,0,194,1,1,1,11.58,8991971.0,1,1,09:30,intra_session_sparse
AVNW,2025-08-27,10,10,0,0,0,0,23.53,2024148.0,0,0,,no_minute_file
AVO,2025-08-27,10,1,148,1,1,1,12.46,2907517.0,1,1,09:29,intra_session_sparse
AVPT,2025-08-27,10,0,332,1,1,1,15.36,26839483.0,1,1,04:28,intra_session_sparse
AVR,2025-08-27,10,2,72,1,1,1,3.78,424911.0,1,0,09:30,intra_session_sparse
AVTR,2025-08-27,10,0,375,1,1,1,13.3,204336570.0,1,1,08:00,intra_session_sparse
AVTX,2025-08-27,10,2,118,1,1,1,9.5,2931639.0,1,1,07:00,intra_session_sparse
AVX,2025-08-27,10,0,290,1,1,1,2.8,1468916.0,1,0,04:00,intra_session_sparse
AVXL,2025-08-27,10,0,332,1,1,1,9.53,9545469.0,1,1,04:08,intra_session_sparse
AWX,2025-08-27,10,10,0,0,0,0,2.54,9219.0,0,0,,no_minute_file
AXG,2025-08-27,10,0,179,1,1,1,3.86,2935719.0,1,1,04:51,intra_session_sparse
AXGN,2025-08-27,10,0,329,1,1,1,16.21,24589454.0,1,1,08:00,intra_session_sparse
AXIL,2025-08-27,10,10,0,0,0,0,6.28,140799.0,0,0,,no_minute_file
AXTI,2025-08-27,10,2,255,1,1,1,2.77,1367528.0,1,0,09:12,intra_session_sparse
AYA,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
AZ,2025-08-27,10,1,157,1,1,1,9.23,1618808.0,1,0,09:30,intra_session_sparse
AZI,2025-08-27,10,10,0,0,0,0,117.05,455638.0,0,0,,no_minute_file
AZTA,2025-08-27,10,10,0,0,0,0,30.57,21508040.0,0,0,,no_minute_file
AZTR,2025-08-27,10,0,376,1,1,1,0.758,2041118.0,1,0,04:03,intra_session_sparse
BACC,2025-08-27,10,10,0,0,0,0,9.965,2133459.0,0,1,,no_minute_file
BAER,2025-08-27,10,1,127,1,1,1,2.06,532674.0,1,0,08:00,intra_session_sparse
BALY,2025-08-27,10,2,19,1,1,1,9.89,439903.0,1,0,09:51,intra_session_sparse
BANC,2025-08-27,10,0,357,1,1,1,16.6,30564330.0,1,1,08:00,intra_session_sparse
BAND,2025-08-27,10,2,118,1,1,1,14.25,3233387.0,1,1,09:30,intra_session_sparse
BAOS,2025-08-27,10,10,0,0,0,0,2.79,100886.0,0,0,,no_minute_file
BARK,2025-08-27,10,0,222,1,1,1,17.39,659720.0,1,0,04:00,intra_session_sparse
BATL,2025-08-27,10,2,73,1,1,1,1.18,422431.0,1,0,04:04,intra_session_sparse
BAX,2025-08-27,10,10,0,0,0,0,24.5,250363548.0,0,0,,no_minute_file
BB,2025-08-27,10,0,370,1,1,1,3.81,26003106.0,1,1,04:47,intra_session_sparse
BBAI,2025-08-27,10,0,376,1,1,1,5.35,486049451.0,1,1,04:00,intra_session_sparse
BBAR,2025-08-27,10,0,357,1,1,1,12.86,9565991.0,1,1,04:00,intra_session_sparse
BBBY,2025-08-27,10,0,364,1,1,1,9.51,24941505.0,1,1,06:37,intra_session_sparse
BBCQ,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
BBDC,2025-08-27,10,0,229,1,1,1,9.8,3583372.0,1,1,09:03,intra_session_sparse
BBGI,2025-08-27,10,10,0,1,0,0,4.79,26439.0,1,0,,no_session_bars_has_month_file
BBLG,2025-08-27,10,10,0,1,0,0,2.16,96007.0,1,0,,no_session_bars_has_month_file
BBNX,2025-08-27,10,0,212,1,1,1,18.33,12735715.0,1,1,09:30,intra_session_sparse
BBOT,2025-08-27,10,2,106,1,1,1,9.585,1379283.0,1,0,09:53,intra_session_sparse
BBVA,2025-08-27,10,0,348,1,1,1,18.46,28372061.0,1,1,04:00,intra_session_sparse
BBWI,2025-08-27,10,10,0,0,0,0,31.35,140063653.0,0,0,,no_minute_file
